_;kapitola;_;financni_misto;_;zdroj;_;pvs;paragraf;akce;_;rozpoctova_polozka;castka
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5166;Konzultační, poradenské a právní služby;760 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5167;Služby školení a vzdělávání;600 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5169;Nákup ostatních služeb;87 059 010
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5171;Opravy a udržování;39 560 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5172;Programové vybavení;300 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5173;Cestovné (tuzemské i zahraniční);15 100 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5175;Pohoštění;1 796 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5176;Účastnické poplatky na konference;15 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5179;Ostatní nákupy jinde nezařazené;117 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5182;Poskytované zálohy vlastní pokladně;1 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5191;Zaplacené sankce;90 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5192;Poskytnuté neinvestiční příspěvky a náhrady (část);6 310 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5194;Věcné dary;831 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5196;Náhrady a příspěvky související s výkonem ústavní funkce a f;67 619 000
