kapitola;financni_misto;akce;rozpoctova_polozka;castka
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Účastnické poplatky na konference;80000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;103190.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Náhrady mezd v době nemoci;80000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery obyvatelstvu nemající charakter daru;1000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery mezinárodním organizacím;10000.0
Úřad vlády České republiky;Úřad vlády České republiky;Vytvoření e-learningového programu a portálu pro RIA;Programové vybavení;425250.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Ostatní osobní výdaje;25522.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;6381.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;2297.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Konzultační, poradenské a právní služby;197856.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup ostatních služeb;133117.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Pohoštění;5760.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;731393.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Ostatní osobní výdaje;498627.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;307505.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;110702.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup ostatních služeb;1408200.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Cestovné (tuzemské i zahraniční);54000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;7314.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Náhrady mezd v době nemoci;3195.0
